FirstName,LastName,Street,City,State,Postal,Country,Email,Phone,Latitude,Longitude,Restrictions,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Dorothy,Dowdy,727 Boring Lane,San Francisco,CA,94103,US,DorothyKDowdy@rhyta.com,415-703-7778,37.748733,-122.45842,50,55566,15042,45939,61830,57688,24763,57125
Blanche,Vos,4563 Delaware Avenue,San Francisco,CA,94107,US,BlancheMVos@fleckens.hu,415-233-5273,37.685014,-122.431539,29,32845,24701,41331,3585,48931,6316,42633
Tanya,Wolff,4629 Water Street,San Francisco,CA,94103,US,TanyaAWolff@cuvox.de,925-270-7562,37.832301,-122.324172,45,53530,7182,48686,48812,19399,28706,20989
Cory,Ross,4150 Locust View Drive,San Francisco,CA,94108,US,CoryTRoss@fleckens.hu,415-984-7662,37.709773,-122.45874,9,50250,52373,17728,19193,25407,19622,36311
Kenneth,Aguilar,7 Locust View Drive,San Francisco,CA,94108,US,KennethPAguilar@rhyta.com,415-994-1972,37.775654,-122.459697,53,56441,40011,63375,25457,13170,52317,2059
Janice,Murray,439 Delaware Avenue,San Francisco,CA,94103,US,JaniceMMurray@einrot.com,415-355-2863,37.872133,-122.327514,57,47361,47511,16342,46692,21559,17799,40647
Jason,Cook,945 Jim Rosa Lane,San Francisco,CA,94108,US,JasonOCook@cuvox.de,415-834-3714,37.802653,-122.434786,56,7853,64805,52089,35942,47470,17397,2941
David,Austin,4164 Roosevelt Street,San Francisco,CA,94108,US,DavidMAustin@superrito.com,415-434-0591,37.724295,-122.351623,0,45943,26253,65344,53784,56325,41518,12856
Helen,Nabors,4500 Jim Rosa Lane,San Francisco,CA,94108,US,HelenDNabors@einrot.com,415-839-9840,37.733684,-122.478229,39,20457,42738,21172,14230,59872,15459,17980
Scott,Madrid,647 Delaware Avenue,San Francisco,CA,94115,US,ScottSMadrid@cuvox.de,415-346-6478,37.712076,-122.343066,38,33384,2566,32904,63826,36534,47686,60586
William,Fennell,2621 Jim Rosa Lane,San Francisco,CA,94110,US,WilliamFFennell@armyspy.com,415-824-8512,37.722029,-122.347229,55,40265,56591,60152,49726,20023,11913,40367
Barbara,Garcia,4745 Harrison Street,San Francisco,CA,94107,US,BarbaraFGarcia@einrot.com,415-515-9177,37.673708,-122.340215,38,57622,2916,49013,59105,8670,7615,25204
Buddy,Rossi,1686 Locust View Drive,San Francisco,CA,94143,US,BuddyBRossi@fleckens.hu,415-908-6795,37.703638,-122.426141,0,47627,26884,48776,18254,9761,47322,55649
Nellie,Sievers,2569 Thunder Road,San Francisco,CA,94111,US,NellieJSievers@jourrapide.com,650-545-2880,37.779635,-122.472903,51,33890,51447,43375,56961,54742,56823,11897
Alberto,Johnson,1984 Delaware Avenue,San Francisco,CA,94108,US,AlbertoLJohnson@einrot.com,415-244-9566,37.764427,-122.498688,52,44950,60452,37339,31255,5836,30156,59837
Johnny,Messina,1977 Thunder Road,San Francisco,CA,94107,US,JohnnyKMessina@cuvox.de,650-549-2744,37.842799,-122.337975,13,43128,51673,9833,28452,63466,40114,20725
Malcolm,Miller,2423 Hide A Way Road,San Francisco,CA,94108,US,MalcolmMMiller@rhyta.com,408-250-3296,37.858833,-122.402985,51,26020,62416,54177,19894,49322,28599,3450
Walter,Osborne,3376 Larry Street,San Francisco,CA,94107,US,WalterSOsborne@dayrep.com,415-226-7893,37.805788,-122.403222,0,36024,48588,50997,29719,36505,24883,33194
Stephanie,Salas,3231 Wolf Pen Road,San Francisco,CA,94107,US,StephanieJSalas@superrito.com,650-449-3909,37.773484,-122.469794,10,51424,65041,16936,44406,64637,50789,18347
Mary,Lininger,470 Roosevelt Street,San Francisco,CA,94107,US,MaryJLininger@dayrep.com,415-375-7962,37.803035,-122.331815,40,8742,54845,21505,44402,19261,9062,18753
Melodie,Upson,204 Lindale Avenue,San Francisco,CA,94105,US,MelodieDUpson@jourrapide.com,510-485-8547,37.689881,-122.450463,21,57022,37575,28572,22837,22566,64135,36619
Joseph,Murdock,2629 Jim Rosa Lane,San Francisco,CA,94103,US,JosephIMurdock@armyspy.com,415-865-8366,37.811536,-122.315445,42,62685,7009,41792,20752,64870,32640,58676
Norma,Irish,2198 Locust View Drive,San Francisco,CA,94143,US,NormaCIrish@dayrep.com,415-972-7097,37.726507,-122.360015,40,32222,43947,31802,11384,29557,15780,60146
David,Ahrens,3118 Larry Street,San Francisco,CA,94107,US,DavidGAhrens@superrito.com,415-228-3933,37.692432,-122.364535,29,8716,55679,21240,15978,22384,10215,20705
Donna,Clark,1656 Ella Street,San Francisco,CA,94107,US,DonnaTClark@gustr.com,650-276-8952,37.777595,-122.409631,60,24934,10251,8356,17603,43247,58273,11059
Betty,Boatner,1751 Locust View Drive,San Francisco,CA,94118,US,BettyJBoatner@gustr.com,415-933-0390,37.798731,-122.402145,14,46963,63964,15272,24071,41230,44942,48832
Tracie,Mann,4755 Ford Street,San Francisco,CA,94108,US,TraciePMann@teleworm.us,408-504-2300,37.727864,-122.312417,32,29876,10119,45627,22028,20538,38298,40382
Karla,Isaac,2736 Beech Street,San Francisco,CA,94124,US,KarlaRIsaac@cuvox.de,925-800-2525,37.640002,-122.30311,35,9128,38922,37075,11121,23916,43586,3886
Vicki,Smith,2653 Rardin Drive,San Francisco,CA,94107,US,VickiNSmith@rhyta.com,650-722-6966,37.77166,-122.422537,18,64070,21660,49650,32189,8770,54901,65307
Linda,Brown,2870 Haul Road,San Francisco,CA,94143,US,LindaEBrown@superrito.com,650-999-3353,37.684163,-122.381578,34,11272,53654,45803,43299,9604,24149,20980
Marcie,Pennington,452 Duck Creek Road,San Francisco,CA,94105,US,MarcieTPennington@dayrep.com,650-763-7754,37.69467,-122.317639,58,25146,59549,45245,28129,58727,1242,28068
Glen,Parr,4126 Larry Street,San Francisco,CA,94124,US,GlenDParr@jourrapide.com,415-200-4930,37.637549,-122.416637,7,10001,14404,20667,43497,19710,51701,40343
Jackson,McBride,2592 Jim Rosa Lane,San Francisco,CA,94108,US,JacksonSMcBride@fleckens.hu,415-788-7377,37.787939,-122.395753,35,41264,5212,56734,27261,61579,63387,34891
Lawrence,Miller,2024 Boring Lane,San Francisco,CA,94108,US,LawrenceMMiller@cuvox.de,415-622-1520,37.832912,-122.310208,8,43306,3858,2870,46535,32758,50448,43759
Carol,Davis,2832 Pretty View Lane,San Francisco,CA,94103,US,CarolJDavis@superrito.com,707-885-2806,37.727628,-122.38885,21,34543,23348,59271,59727,56708,18460,15201
Ilse,Eaves,1793 Brown Street,San Francisco,CA,94104,US,IlseREaves@superrito.com,925-949-1646,37.870972,-122.470456,21,35265,24220,16945,63232,43406,14349,43524
Nereida,Seely,4822 Rardin Drive,San Francisco,CA,94124,US,NereidaRSeely@gustr.com,650-732-1251,37.767696,-122.477804,46,58814,44859,58909,12278,13342,6861,9948
Basil,Mendez,611 Forest Avenue,San Francisco,CA,94143,US,BasilMMendez@armyspy.com,650-202-2768,37.747288,-122.421049,2,20665,46421,5094,62704,15495,45761,28300
Donna,Michalak,221 Thompson Drive,San Francisco,CA,94108,US,DonnaLMichalak@cuvox.de,510-387-6452,37.717671,-122.487056,39,59495,43273,50768,29919,18949,9434,24557
Edmund,Garcia,1305 Rardin Drive,San Francisco,CA,94143,US,EdmundHGarcia@fleckens.hu,650-690-8484,37.718336,-122.364694,17,25706,6507,32459,10458,22536,19717,58031
James,Pitts,4312 Alexander Avenue,San Francisco,CA,94111,US,JamesFPitts@cuvox.de,925-573-5318,37.727542,-122.402876,61,43859,23301,53141,53343,32308,24869,42655
Barbara,Corso,4719 Roosevelt Street,San Francisco,CA,94108,US,BarbaraRCorso@rhyta.com,415-403-5561,37.784127,-122.487238,59,60682,35568,60657,17999,40408,13792,10485
Anna,Smith,467 Boring Lane,San Francisco,CA,94107,US,AnnaRSmith@armyspy.com,415-630-9437,37.681407,-122.449847,53,18710,45311,11088,22199,4816,24877,20136
Joyce,English,3773 Hillview Drive,San Francisco,CA,94103,US,JoyceJEnglish@jourrapide.com,707-216-2473,37.71993,-122.327499,12,63305,62423,39400,1035,33511,12428,46608
Richard,Berkey,4623 Locust View Drive,San Francisco,CA,94108,US,RichardTBerkey@gustr.com,415-989-3660,37.801114,-122.446785,0,53384,55410,63746,20188,43435,51099,24603
Bonita,Vue,338 Thunder Road,San Francisco,CA,94108,US,BonitaCVue@dayrep.com,650-455-3995,37.728585,-122.346117,36,63295,63308,33638,33318,34897,28088,23968
Arlene,Howard,4645 Hide A Way Road,San Francisco,CA,94107,US,ArleneJHoward@dayrep.com,408-213-0718,37.780997,-122.414565,32,35532,41670,12337,27222,53359,45675,34264
Charles,Johnson,1080 Hillview Drive,San Francisco,CA,94103,US,CharlesPJohnson@dayrep.com,707-221-7928,37.688231,-122.352827,7,57784,31216,34186,63943,59970,59429,33734
Edwin,Ingram,3086 Jim Rosa Lane,San Francisco,CA,94108,US,EdwinVIngram@teleworm.us,415-834-3217,37.699471,-122.474117,3,63057,15276,11938,21824,19664,62825,1396
Roger,Stewart,437 Locust View Drive,San Francisco,CA,94143,US,RogerSStewart@superrito.com,415-894-9159,37.820849,-122.463945,7,35999,55577,43824,24563,37453,35693,29101
Mary,Tester,2387 Brown Street,San Francisco,CA,94124,US,MaryJTester@superrito.com,925-999-9487,37.719255,-122.398897,23,7106,41239,60744,54390,50896,4401,6580
Tonya,Forster,2434 Roosevelt Street,San Francisco,CA,94108,US,TonyaWForster@einrot.com,415-434-7270,37.778008,-122.491866,62,50327,46085,57730,57809,39076,61103,27036
Arturo,Harman,3266 Harrison Street,San Francisco,CA,94115,US,ArturoTHarman@einrot.com,415-563-0322,37.756255,-122.44484,30,32738,32704,39704,1164,45966,52156,47599
Gerald,White,4265 Boring Lane,San Francisco,CA,94110,US,GeraldMWhite@cuvox.de,415-641-0697,37.688168,-122.407919,56,19106,50177,17682,8835,357,46142,24248
Wilma,Parker,4737 Wolf Pen Road,San Francisco,CA,94107,US,WilmaLParker@superrito.com,650-426-3556,37.776092,-122.373067,0,36971,44747,58771,3085,36492,40968,21843
Lauren,Morning,4646 Friendship Lane,San Francisco,CA,94104,US,LaurenOMorning@fleckens.hu,408-564-6856,37.783724,-122.350426,28,35226,57487,20706,33320,52312,20513,23415
Louella,Henshaw,4824 Boring Lane,San Francisco,CA,94107,US,LouellaLHenshaw@gustr.com,415-645-8313,37.805451,-122.440745,62,32390,51927,64283,16238,6724,50631,50154
Ronald,Kennedy,4343 Rardin Drive,San Francisco,CA,94107,US,RonaldDKennedy@armyspy.com,650-648-9299,37.780838,-122.474584,55,12101,15198,37142,63955,49731,49106,53369
Joshua,Novick,3869 Wayside Lane,San Francisco,CA,94108,US,JoshuaSNovick@gustr.com,510-303-7800,37.733858,-122.502893,53,47803,15448,26806,46191,13669,37053,41018
Beth,Pittman,828 Jim Rosa Lane,San Francisco,CA,94143,US,BethAPittman@einrot.com,415-803-8050,37.747961,-122.399628,11,24041,43953,45287,15540,3939,50902,59352
Marta,Beavers,3169 Roosevelt Street,San Francisco,CA,94112,US,MartaRBeavers@rhyta.com,415-404-9268,37.808,-122.412075,20,57385,34907,30489,42567,855,32389,2090
Michael,Carter,1591 Delaware Avenue,San Francisco,CA,94107,US,MichaelDCarter@gustr.com,415-308-3956,37.78668,-122.429534,12,297,30906,45183,61045,54351,28101,22471
Gail,Spinney,4152 Jim Rosa Lane,San Francisco,CA,94107,US,GailTSpinney@cuvox.de,415-783-5346,37.82751,-122.408467,39,43599,53156,62467,9380,51413,34790,21333
Carol,Payne,484 Ella Street,San Francisco,CA,94107,US,CarolTPayne@gustr.com,650-297-9398,37.769981,-122.350975,2,30335,22882,19101,56170,36300,40347,63077
Dominique,Perry,1583 Delaware Avenue,San Francisco,CA,94104,US,DominiqueMPerry@gustr.com,415-276-2823,37.783104,-122.423567,60,45115,57646,36983,18211,6153,52774,50173
David,Farnsworth,3824 Rose Street,San Francisco,CA,94103,US,DavidLFarnsworth@cuvox.de,707-988-1568,37.747542,-122.39851,15,3222,10431,9821,52945,35790,22274,41395
Charles,Fields,1307 Roosevelt Street,San Francisco,CA,94115,US,CharlesMFields@teleworm.us,415-359-7985,37.78253,-122.476017,40,32097,60189,8001,35754,24448,23423,45687
Colby,Nino,4510 Delaware Avenue,San Francisco,CA,94104,US,ColbyGNino@gustr.com,415-276-7568,37.805498,-122.485115,58,41943,4557,13468,63701,15949,6677,35953
Benjamin,Hunter,2265 Station Street,San Francisco,CA,94104,US,BenjaminPHunter@einrot.com,510-921-8576,37.865995,-122.370278,0,28738,44791,28787,11267,42759,52418,2489
Carolyn,McRae,3044 Jim Rosa Lane,San Francisco,CA,94143,US,CarolynDMcRae@superrito.com,415-768-9876,37.67326,-122.468284,27,50,35621,44960,46513,4470,60859,40656
Neil,Neal,1459 Davis Avenue,San Francisco,CA,94104,US,NeilLNeal@teleworm.us,707-669-3567,37.830604,-122.417176,62,26260,27668,7785,24017,2616,32940,21324
Rosa,Stone,3751 Lindale Avenue,San Francisco,CA,94107,US,RosaDStone@cuvox.de,510-497-5234,37.6821,-122.322108,40,36569,37815,28320,10405,42240,11197,48161
Daniel,Huffman,208 Rardin Drive,San Francisco,CA,94104,US,DanielAHuffman@rhyta.com,650-645-8239,37.714754,-122.350262,12,37177,64594,32810,57060,48859,59423,51232
Lou,Rose,2923 Jim Rosa Lane,San Francisco,CA,94112,US,LouRRose@armyspy.com,415-841-5259,37.659933,-122.498791,0,56714,50299,7702,5671,38533,32109,38899
Patricia,Baxter,1445 Friendship Lane,San Francisco,CA,94108,US,PatriciaTBaxter@gustr.com,408-674-2510,37.800436,-122.398329,57,27539,37530,31862,48821,59468,31303,30971
Marion,Garland,4233 Ella Street,San Francisco,CA,94108,US,MarionPGarland@rhyta.com,650-296-9860,37.778354,-122.333066,2,60223,15812,59138,21972,42024,28056,22549
Aaron,Jones,2480 Harrison Street,San Francisco,CA,94107,US,AaronCJones@gustr.com,415-483-0135,37.863493,-122.381831,41,14610,57427,51326,23849,45923,54962,62648
Karen,Brothers,2721 Jim Rosa Lane,San Francisco,CA,94107,US,KarenJBrothers@fleckens.hu,415-793-2817,37.789808,-122.339013,15,47872,62992,63688,20834,65346,48021,919
Saundra,Turner,4592 Wolf Pen Road,San Francisco,CA,94107,US,SaundraKTurner@rhyta.com,650-400-4902,37.832349,-122.326814,25,56318,15741,10238,12595,59347,65495,44597
Margaret,Danis,492 Harrison Street,San Francisco,CA,94107,US,MargaretRDanis@cuvox.de,415-515-0161,37.867356,-122.440484,58,10932,50063,4579,40850,20836,62623,38264
Harriet,Patel,3664 Roosevelt Street,San Francisco,CA,94108,US,HarrietJPatel@armyspy.com,415-393-0301,37.746646,-122.477431,40,22941,13137,14100,5573,39127,20712,984
Roderick,Beck,4723 Pretty View Lane,San Francisco,CA,94103,US,RoderickOBeck@armyspy.com,707-922-1209,37.697319,-122.428655,45,27045,10024,27281,4871,50223,11857,13874
Geneva,Esposito,3707 Meadow Lane,San Francisco,CA,94108,US,GenevaTEsposito@gustr.com,707-365-2654,37.875867,-122.433903,18,63190,35452,53867,63758,58395,62783,47049
Manuela,Forster,1128 Wolf Pen Road,San Francisco,CA,94107,US,ManuelaDForster@jourrapide.com,650-362-9859,37.765989,-122.363051,21,51194,50351,33200,40792,17682,12459,18070
James,Davis,4409 Wolf Pen Road,San Francisco,CA,94107,US,JamesBDavis@fleckens.hu,650-392-2779,37.779614,-122.388844,10,128,30738,57129,65308,57186,12390,28771
Sharon,Ashley,1482 Rardin Drive,San Francisco,CA,94107,US,SharonWAshley@rhyta.com,650-648-3736,37.779296,-122.341612,36,54435,15707,56532,29361,3748,12950,51008
Stanley,Ryan,1394 Station Street,San Francisco,CA,94107,US,StanleyERyan@cuvox.de,510-978-2619,37.803467,-122.32803,37,27945,52314,4571,52998,59881,36872,7938
Steven,Sevilla,4642 Station Street,San Francisco,CA,94104,US,StevenSSevilla@jourrapide.com,510-921-4898,37.70632,-122.35255,28,19667,61279,955,25541,61881,15320,16054
Robert,Tripp,2250 Haul Road,San Francisco,CA,94104,US,RobertKTripp@rhyta.com,650-946-1913,37.798826,-122.337126,16,16142,44743,38814,12600,45813,10120,520
Tammara,Williams,1055 Boring Lane,San Francisco,CA,94122,US,TammaraMWilliams@gustr.com,415-682-8795,37.808854,-122.421941,31,35347,4247,35848,41094,34367,54828,36420
Jeffrey,Vuong,1481 Boring Lane,San Francisco,CA,94108,US,JeffreyKVuong@armyspy.com,415-733-2346,37.888261,-122.499762,24,22909,34275,39610,6712,57445,332,50148
Noah,Dent,1757 Harrison Street,San Francisco,CA,94108,US,NoahMDent@rhyta.com,415-544-2936,37.76466,-122.381024,47,25495,29070,831,22043,28019,31761,41780
Jc,Brown,659 Roosevelt Street,San Francisco,CA,94108,US,JcSBrown@superrito.com,415-397-2306,37.881792,-122.49273,61,56305,63405,16761,56925,28927,28902,42401
Loren,May,842 Sycamore Street,San Francisco,CA,94107,US,LorenJMay@armyspy.com,408-849-9471,37.760203,-122.484073,23,59791,15481,24937,14785,10336,32164,56676
Guillermo,Nord,2919 Jim Rosa Lane,San Francisco,CA,94108,US,GuillermoGNord@cuvox.de,415-839-2068,37.732239,-122.335591,45,2000,36122,58970,22077,49195,25181,33762
Gordon,Merchant,1680 Boring Lane,San Francisco,CA,94108,US,GordonMMerchant@gustr.com,415-675-8020,37.879697,-122.407841,58,20447,62856,35392,38379,49283,2735,13427
Tina,Hursey,730 Clifford Street,San Francisco,CA,94105,US,TinaWHursey@armyspy.com,510-629-2177,37.821961,-122.397985,48,52113,44782,19608,41650,17428,8476,1980
Robert,Moore,3153 Harrison Street,San Francisco,CA,94103,US,RobertJMoore@rhyta.com,415-575-6350,37.689406,-122.335189,27,4728,45751,53803,42546,27404,60949,22866
Nancy,Evans,1474 Locust View Drive,San Francisco,CA,94108,US,NancyREvans@einrot.com,415-986-6693,37.69586,-122.374357,22,24761,32722,57780,6761,25093,57202,65147
James,Varner,2885 Boring Lane,San Francisco,CA,94107,US,JamesEVarner@armyspy.com,415-683-8255,37.773852,-122.474981,37,44372,23631,21711,47429,64237,31155,3294
Leroy,Davis,3328 Jim Rosa Lane,San Francisco,CA,94143,US,LeroyCDavis@superrito.com,415-836-6094,37.728508,-122.48285,30,63187,64978,52797,64238,44016,4133,20565
Vincent,Byrne,1114 Cemetery Street,San Francisco,CA,94107,US,VincentJByrne@armyspy.com,831-706-3222,37.752835,-122.435669,17,19692,48002,61198,20798,24412,29246,44199
Susan,Carlos,2529 Jim Rosa Lane,San Francisco,CA,94107,US,SusanDCarlos@dayrep.com,415-862-9893,37.861835,-122.307216,60,36961,59951,5753,48949,62856,52518,48323
Lucille,Gunn,2006 Roosevelt Street,San Francisco,CA,94115,US,LucilleJGunn@superrito.com,415-409-4133,37.703271,-122.4128,15,54578,51070,22439,27200,65461,60008,41993
Chester,Smart,1307 Cemetery Street,San Francisco,CA,94104,US,ChesterMSmart@teleworm.us,831-824-4746,37.859125,-122.454189,39,460,55671,16861,17847,30686,36191,57138
Travis,Tiller,1778 Harrison Street,San Francisco,CA,94122,US,TravisETiller@gustr.com,415-504-1194,37.849685,-122.571492,13,37734,1522,27951,39518,64479,16522,14957
John,Howard,4598 Delaware Avenue,San Francisco,CA,94124,US,JohnJHoward@gustr.com,415-341-8610,37.819364,-122.289584,38,56890,35328,44295,14749,48744,1884,15798
Maria,Lee,625 Marietta Street,San Francisco,CA,94103,US,MariaJLee@jourrapide.com,707-598-0429,37.74101,-122.423068,29,46602,34868,51537,7006,64142,13063,65021
Johnny,Schutt,4300 Boring Lane,San Francisco,CA,94110,US,JohnnyJSchutt@gustr.com,415-647-1106,37.67378,-122.403736,58,38421,41297,7429,50784,36863,41054,18959
Steven,Brown,2440 Wayside Lane,San Francisco,CA,94107,US,StevenMBrown@jourrapide.com,510-322-4900,37.710084,-122.356996,40,58184,52060,239,26028,25683,30538,3275
Frank,Barcenas,3174 Jim Rosa Lane,San Francisco,CA,94110,US,FrankGBarcenas@superrito.com,415-821-7149,37.824765,-122.514365,38,34224,9145,58915,3218,19091,272,15552
Reggie,Hunter,3041 Boring Lane,San Francisco,CA,94107,US,ReggieTHunter@einrot.com,415-737-1680,37.815249,-122.366953,4,42902,22549,13450,58322,56688,23777,30538
Kathryn,McDuffie,2231 Thunder Road,San Francisco,CA,94104,US,KathrynJMcDuffie@superrito.com,650-581-3448,37.767316,-122.330088,22,38040,19293,35945,6113,13394,38655,31496
Scottie,Scoles,1819 Davis Avenue,San Francisco,CA,94103,US,ScottieLScoles@armyspy.com,707-750-0880,37.760532,-122.349672,59,43666,17288,62151,56125,49650,10449,26246
Charlene,Slade,1535 Locust View Drive,San Francisco,CA,94107,US,CharleneBSlade@fleckens.hu,415-997-1282,37.756303,-122.37812,60,34848,57459,42902,18419,9622,51412,37029
Janet,Hardison,1235 Roosevelt Street,San Francisco,CA,94103,US,JanetDHardison@einrot.com,415-462-8764,37.856242,-122.463519,21,1548,56431,57624,41432,35225,40400,37806
Jayme,Janicki,4120 Locust View Drive,San Francisco,CA,94105,US,JaymeDJanicki@armyspy.com,415-890-4101,37.841637,-122.384715,55,40513,59677,55598,57460,53531,31032,30568
Latisha,Brawley,3054 Boring Lane,San Francisco,CA,94105,US,LatishaBBrawley@rhyta.com,415-680-0530,37.732403,-122.321531,1,12356,63704,2878,35488,49586,20598,7261
Kathy,Myers,1327 Emily Renzelli Boulevard,San Francisco,CA,94107,US,KathyTMyers@dayrep.com,831-703-5247,37.827523,-122.343225,31,49921,29039,10499,5992,27279,45800,56851
Wanda,Sawyer,702 Roosevelt Street,San Francisco,CA,94108,US,WandaESawyer@teleworm.us,415-403-5569,37.802627,-122.349937,25,17598,36790,10111,56841,11111,15930,60149
Maria,Allen,3820 Boring Lane,San Francisco,CA,94143,US,MariaRAllen@einrot.com,415-598-4572,37.813672,-122.554826,45,60524,16043,22286,44144,50472,36799,16749
Christopher,Armer,3421 Duck Creek Road,San Francisco,CA,94108,US,ChristopherMArmer@armyspy.com,650-766-1028,37.780068,-122.450153,3,48285,39118,8451,29064,2082,52236,40408
Richard,King,3050 Emily Renzelli Boulevard,San Francisco,CA,94143,US,RichardPKing@armyspy.com,831-572-9106,37.751153,-122.539118,46,48465,42002,62441,51881,16738,47379,26806
Hazel,Pledger,4533 Hillview Drive,San Francisco,CA,94103,US,HazelBPledger@armyspy.com,707-216-2050,37.747225,-122.501067,60,40000,19151,7179,10558,65373,52787,46252
Treva,Bryant,2767 Black Oak Hollow Road,San Francisco,CA,94107,US,TrevaDBryant@jourrapide.com,408-702-0972,37.862381,-122.409773,19,42946,5716,28504,21929,8806,33078,34273
Charles,Wilson,255 Davis Avenue,San Francisco,CA,94107,US,CharlesMWilson@cuvox.de,707-759-0206,37.811387,-122.386662,51,37522,53190,53260,64151,39861,21907,13038
Terese,Wilkins,2492 Forest Avenue,San Francisco,CA,94143,US,TereseAWilkins@superrito.com,650-202-7617,37.769788,-122.447825,54,45724,12702,13041,9998,45896,58085,45241
Mary,Thomas,302 Station Street,San Francisco,CA,94103,US,MaryMThomas@jourrapide.com,510-870-1254,37.714836,-122.454649,10,31439,28978,45416,44712,29994,8145,48880
Malka,Weathersby,41 Jim Rosa Lane,San Francisco,CA,94108,US,MalkaDWeathersby@einrot.com,415-781-7825,37.761896,-122.326935,45,16190,22920,10136,37617,13235,30685,15166
Stacey,Sutton,4701 Davis Avenue,San Francisco,CA,94103,US,StaceyMSutton@gustr.com,707-667-5226,37.68604,-122.435187,21,58095,22057,17242,47611,17606,36896,31592
Mariana,Summers,4991 Locust View Drive,San Francisco,CA,94108,US,MarianaJSummers@einrot.com,415-954-6888,37.840196,-122.472547,0,63406,5288,38197,50711,18735,14071,33556
Mark,Leonard,2257 Roosevelt Street,San Francisco,CA,94124,US,MarkBLeonard@einrot.com,415-467-8655,37.828826,-122.410512,43,33256,63686,56896,15902,41985,49074,46264
Imogene,Briley,2667 Thunder Road,San Francisco,CA,94108,US,ImogeneTBriley@superrito.com,650-483-9444,37.80248,-122.439052,29,25586,48220,24415,26814,895,58983,29148
Brian,Manchester,473 Duck Creek Road,San Francisco,CA,94107,US,BrianMManchester@dayrep.com,650-749-1367,37.785606,-122.471976,21,15074,58315,27282,28191,30806,41895,37388
Samuel,Loper,200 Harrison Street,San Francisco,CA,94112,US,SamuelVLoper@cuvox.de,415-582-5003,37.659525,-122.473355,41,22058,45687,43495,61936,44217,34969,3720
Brian,Dock,4211 Thunder Road,San Francisco,CA,94108,US,BrianCDock@gustr.com,650-575-1177,37.702841,-122.313174,14,27243,37431,17184,33334,18416,49451,55495
Ira,Maxwell,1909 Wolf Pen Road,San Francisco,CA,94107,US,IraIMaxwell@cuvox.de,650-403-6015,37.786753,-122.467571,11,47265,10065,2860,57440,10681,23294,64780
Amy,Doyle,4916 Duck Creek Road,San Francisco,CA,94108,US,AmyJDoyle@superrito.com,650-862-7394,37.777973,-122.396762,4,25807,3165,34551,21607,34771,61855,45188
Gertrude,Duprey,3391 Lindale Avenue,San Francisco,CA,94107,US,GertrudeLDuprey@superrito.com,510-542-0544,37.846828,-122.297586,3,19509,57232,26678,37234,55949,22872,31726
